matrix	partition_name
Whelan2017_strict	Subset5_01
Whelan2017_strict	Subset1_01
Whelan2017_strict	Subset4_01
Whelan2017_strict	Subset16_01
Whelan2017_strict	Subset3_01
Whelan2017_strict	Subset14_01
Whelan2017_strict	Subset9_01
Whelan2017_strict	Subset18_01
Whelan2017_full	Subset4_09
Whelan2017_strict	Subset21_01
Whelan2017_strict	Subset8_01
Whelan2017_strict	Subset13_01
Whelan2017_full	Subset2_19
Whelan2017_full	Subset5_06
Whelan2017_strict	Subset10_01
Whelan2017_strict	Subset6
Whelan2017_strict	Subset6_01
Whelan2017_strict	Subset11_01
Whelan2017_strict	Subset15_01
Whelan2017_strict	Subset9
