matrix	part	sseqid	swissprot_desc	count
Borowiec2015_Best108	OG1004.fasta.aln_gene1	Q02252.2	RecName: Full=Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial; Short=MMSDH; Short=Malonate-semialdehyde dehydrogenase [acylating]; AltName: Full=Aldehyde dehydrogenase family 6 member A1; Flags: Precursor	33
Borowiec2015_Best108	OG1005.fasta.aln_gene2	P51649.2	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; AltName: Full=Aldehyde dehydrogenase family 5 member A1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; Flags: Precursor	33
Borowiec2015_Best108	OG1010.fasta.aln_gene3	A6H7F2.1	RecName: Full=GPN-loop GTPase 2; AltName: Full=ATP-binding domain 1 family member B	32
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Q0P5E2.1	RecName: Full=GPN-loop GTPase 3; AltName: Full=ATP-binding domain 1 family member C	33
Borowiec2015_Best108	OG1064.fasta.aln_gene5	A5A8V7.1	RecName: Full=Heat shock 70 kDa protein 1-like; Short=Heat shock 70 kDa protein 1L	36
Borowiec2015_Best108	OG1111.fasta.aln_gene6	Q06265.3	RecName: Full=Exosome complex component RRP45; AltName: Full=Autoantigen PM/Scl 1; AltName: Full=Exosome component 9; AltName: Full=P75 polymyositis-scleroderma overlap syndrome-associated autoantigen; AltName: Full=Polymyositis/scleroderma autoantigen 1; AltName: Full=Polymyositis/scleroderma autoantigen 75 kDa; Short=PM/Scl-75	20
Borowiec2015_Best108	OG1129.fasta.aln_gene7	Q5FVA9.1	RecName: Full=mRNA export factor; AltName: Full=Rae1 protein homolog; AltName: Full=mRNA-associated protein mrnp 41	33
Borowiec2015_Best108	OG113.fasta.aln_gene9	P54276.3	RecName: Full=DNA mismatch repair protein Msh6; AltName: Full=G/T mismatch-binding protein; Short=GTBP; Short=GTMBP; AltName: Full=MutS protein homolog 6; AltName: Full=MutS-alpha 160 kDa subunit; Short=p160	18
Borowiec2015_Best108	OG1130.fasta.aln_gene8	A2VD83.1	RecName: Full=Mannose-1-phosphate guanyltransferase beta-B; AltName: Full=GDP-mannose pyrophosphorylase B-B; AltName: Full=GTP-mannose-1-phosphate guanylyltransferase beta-B	34
Borowiec2015_Best108	OG1148.fasta.aln_gene10	Q2HJH6.1	RecName: Full=U5 small nuclear ribonucleoprotein 40 kDa protein; Short=U5 snRNP 40 kDa protein; AltName: Full=WD repeat-containing protein 57	33
Borowiec2015_Best108	OG1155.fasta.aln_gene11	O00567.4	RecName: Full=Nucleolar protein 56; AltName: Full=Nucleolar protein 5A	33
Borowiec2015_Best108	OG120.fasta.aln_gene12	Q9VHD2.1	RecName: Full=Probable maleylacetoacetate isomerase 2; Short=MAAI 2; AltName: Full=Glutathione S-transferase zeta 2	30
Borowiec2015_Best108	OG132.fasta.aln_gene13	P14604.1	RecName: Full=Enoyl-CoA hydratase, mitochondrial; AltName: Full=Enoyl-CoA hydratase 1; AltName: Full=Short-chain enoyl-CoA hydratase; Short=SCEH; Flags: Precursor	33
Borowiec2015_Best108	OG139.fasta.aln_gene14	Q9HBG6.2	RecName: Full=Intraflagellar transport protein 122 homolog; AltName: Full=WD repeat-containing protein 10; AltName: Full=WD repeat-containing protein 140	28
Borowiec2015_Best108	OG144.fasta.aln_gene15	O57592.3	RecName: Full=60S ribosomal protein L7a; AltName: Full=Surfeit locus protein 3	35
Borowiec2015_Best108	OG145.fasta.aln_gene16	Q4L208.1	RecName: Full=Sodium/hydrogen exchanger 8; AltName: Full=Na(+)/H(+) exchanger 8; Short=NHE-8; AltName: Full=Solute carrier family 9 member 8	30
