matrix1	part1	matrix2	part2	count
Borowiec2015_Best108	OG1004.fasta.aln_gene1	Borowiec2015_Total1080	OG1004.fasta.aln_gene4	304
Borowiec2015_Best108	OG1004.fasta.aln_gene1	Simion2017	V2META13438-42-Calc_Hmm10-BMGE05	205
Borowiec2015_Best108	OG1005.fasta.aln_gene2	Borowiec2015_Total1080	OG1005.fasta.aln_gene5	397
Borowiec2015_Best108	OG1010.fasta.aln_gene3	Borowiec2015_Total1080	OG1010.fasta.aln_gene10	346
Borowiec2015_Best108	OG1010.fasta.aln_gene3	Chang2015	pace2_01	21
Borowiec2015_Best108	OG1010.fasta.aln_gene3	Ryan2013_est	gene293	51
Borowiec2015_Best108	OG1010.fasta.aln_gene3	Simion2017	V2META11065-1-42-Calc_Hmm10-BMGE05	2
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Borowiec2015_Total1080	OG1011.fasta.aln_gene11	359
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Chang2015	pace2	43
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Hejnol2009	Tribe1169_0	55
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Ryan2013_est	gene152	22
Borowiec2015_Best108	OG1011.fasta.aln_gene4	Simion2017	V2META11065-2-42-Calc_Hmm10-BMGE05	30
Borowiec2015_Best108	OG1064.fasta.aln_gene5	Borowiec2015_Total1080	OG1064.fasta.aln_gene61	371
Borowiec2015_Best108	OG1064.fasta.aln_gene5	Chang2015	hsp70	78
Borowiec2015_Best108	OG1064.fasta.aln_gene5	Philippe2009	Gene_0019	32
Borowiec2015_Best108	OG1111.fasta.aln_gene6	Borowiec2015_Total1080	OG1111.fasta.aln_gene103	215
Borowiec2015_Best108	OG1111.fasta.aln_gene6	Hejnol2009	Tribe2723_0	35
Borowiec2015_Best108	OG1111.fasta.aln_gene6	Ryan2013_est	gene33	77
Borowiec2015_Best108	OG1111.fasta.aln_gene6	Simion2017	V2META14533-42-Calc_Hmm10-BMGE05	16
Borowiec2015_Best108	OG1129.fasta.aln_gene7	Borowiec2015_Total1080	OG1129.fasta.aln_gene120	384
Borowiec2015_Best108	OG113.fasta.aln_gene9	Borowiec2015_Total1080	OG113.fasta.aln_gene131	334
Borowiec2015_Best108	OG1130.fasta.aln_gene8	Borowiec2015_Total1080	OG1130.fasta.aln_gene122	391
Borowiec2015_Best108	OG1130.fasta.aln_gene8	Whelan2017_strict	Subset4_01	41
Borowiec2015_Best108	OG1148.fasta.aln_gene10	Borowiec2015_Total1080	OG1148.fasta.aln_gene140	365
Borowiec2015_Best108	OG1148.fasta.aln_gene10	Ryan2013_est	gene194	36
Borowiec2015_Best108	OG1148.fasta.aln_gene10	Simion2017	V2META13460-42-Calc_Hmm10-BMGE05	41
Borowiec2015_Best108	OG1155.fasta.aln_gene11	Borowiec2015_Total1080	OG1155.fasta.aln_gene148	366
Borowiec2015_Best108	OG1155.fasta.aln_gene11	Nosenko2013_ribo_14615	KOG2573	78
Borowiec2015_Best108	OG1155.fasta.aln_gene11	Simion2017	V2META11095-2-42-Calc_Hmm10-BMGE05	1
Borowiec2015_Best108	OG120.fasta.aln_gene12	Borowiec2015_Total1080	OG120.fasta.aln_gene161	342
Borowiec2015_Best108	OG120.fasta.aln_gene12	Ryan2013_est	gene31	60
Borowiec2015_Best108	OG132.fasta.aln_gene13	Borowiec2015_Total1080	OG132.fasta.aln_gene172	396
Borowiec2015_Best108	OG139.fasta.aln_gene14	Borowiec2015_Total1080	OG139.fasta.aln_gene178	260
Borowiec2015_Best108	OG139.fasta.aln_gene14	Simion2017	V2META12701-42-Calc_Hmm10-BMGE05	23
Borowiec2015_Best108	OG144.fasta.aln_gene15	Borowiec2015_Total1080	OG144.fasta.aln_gene183	255
Borowiec2015_Best108	OG144.fasta.aln_gene15	Chang2015	l12e_01	28
Borowiec2015_Best108	OG144.fasta.aln_gene15	Dunn2008	Tribe169	28
Borowiec2015_Best108	OG144.fasta.aln_gene15	Hejnol2009	Tribe275_0	169
Borowiec2015_Best108	OG144.fasta.aln_gene15	Nosenko2013_ribo_11057	KOG3166	27
Borowiec2015_Best108	OG144.fasta.aln_gene15	Nosenko2013_ribo_14615	KOG3166	34
Borowiec2015_Best108	OG144.fasta.aln_gene15	Philippe2009	Gene_0029	66
Borowiec2015_Best108	OG144.fasta.aln_gene15	Ryan2013_est	gene120	4
Borowiec2015_Best108	OG145.fasta.aln_gene16	Borowiec2015_Total1080	OG145.fasta.aln_gene184	354
Borowiec2015_Best108	OG167.fasta.aln_gene17	Borowiec2015_Total1080	OG167.fasta.aln_gene207	367
Borowiec2015_Best108	OG167.fasta.aln_gene17	Ryan2013_est	gene125	15
Borowiec2015_Best108	OG167.fasta.aln_gene17	Simion2017	V2META13770-42-Calc_Hmm10-BMGE05	5
Borowiec2015_Best108	OG167.fasta.aln_gene17	Whelan2017_full	Subset21_07	9
Borowiec2015_Best108	OG167.fasta.aln_gene17	Whelan2017_strict	Subset3_01	11
Borowiec2015_Best108	OG17.fasta.aln_gene18	Borowiec2015_Total1080	OG17.fasta.aln_gene220	376
Borowiec2015_Best108	OG190.fasta.aln_gene19	Borowiec2015_Total1080	OG190.fasta.aln_gene231	384
Borowiec2015_Best108	OG190.fasta.aln_gene19	Ryan2013_est	gene345	20
Borowiec2015_Best108	OG198.fasta.aln_gene20	Borowiec2015_Total1080	OG198.fasta.aln_gene239	357
Borowiec2015_Best108	OG198.fasta.aln_gene20	Simion2017	V2META13821-42-Calc_Hmm10-BMGE05	9
Borowiec2015_Best108	OG2.fasta.aln_gene36	Borowiec2015_Total1080	OG2.fasta.aln_gene350	376
Borowiec2015_Best108	OG2.fasta.aln_gene36	Simion2017	V2META14114-42-Calc_Hmm10-BMGE05	22
Borowiec2015_Best108	OG2.fasta.aln_gene36	Whelan2015_D1	Gene_0691	11
Borowiec2015_Best108	OG2.fasta.aln_gene36	Whelan2015_D10	Gene_0691	11
Borowiec2015_Best108	OG2.fasta.aln_gene36	Whelan2015_D20	Gene_0691	9
Borowiec2015_Best108	OG201.fasta.aln_gene21	Borowiec2015_Total1080	OG201.fasta.aln_gene244	278
Borowiec2015_Best108	OG201.fasta.aln_gene21	Hejnol2009	Tribe2563_0	8
Borowiec2015_Best108	OG205.fasta.aln_gene22	Borowiec2015_Total1080	OG205.fasta.aln_gene248	421
Borowiec2015_Best108	OG205.fasta.aln_gene22	Simion2017	V2META14005-42-Calc_Hmm10-BMGE05	11
Borowiec2015_Best108	OG205.fasta.aln_gene22	Whelan2015_D1	Gene_0941	2
Borowiec2015_Best108	OG205.fasta.aln_gene22	Whelan2015_D10	Gene_0941	1
Borowiec2015_Best108	OG205.fasta.aln_gene22	Whelan2015_D20	Gene_0941	1
Borowiec2015_Best108	OG205.fasta.aln_gene22	Whelan2017_full	Subset23_06	3
Borowiec2015_Best108	OG209.fasta.aln_gene23	Borowiec2015_Total1080	OG209.fasta.aln_gene252	390
Borowiec2015_Best108	OG209.fasta.aln_gene23	Simion2017	V2META12745-1-42-Calc_Hmm10-BMGE05	46
Borowiec2015_Best108	OG209.fasta.aln_gene23	Whelan2015_D1	Gene_0208	1
Borowiec2015_Best108	OG209.fasta.aln_gene23	Whelan2015_D10	Gene_0208	1
Borowiec2015_Best108	OG211.fasta.aln_gene24	Borowiec2015_Total1080	OG211.fasta.aln_gene255	397
Borowiec2015_Best108	OG211.fasta.aln_gene24	Simion2017	V2META11882-42-Calc_Hmm10-BMGE05	14
Borowiec2015_Best108	OG218.fasta.aln_gene25	Borowiec2015_Total1080	OG218.fasta.aln_gene261	262
Borowiec2015_Best108	OG218.fasta.aln_gene25	Chang2015	tribe896	76
Borowiec2015_Best108	OG218.fasta.aln_gene25	Dunn2008	Tribe896	63
Borowiec2015_Best108	OG218.fasta.aln_gene25	Hejnol2009	Tribe1063_0	61
Borowiec2015_Best108	OG218.fasta.aln_gene25	Ryan2013_est	gene261	40
Borowiec2015_Best108	OG218.fasta.aln_gene25	Simion2017	V2META12821-42-Calc_Hmm10-BMGE05	49
Borowiec2015_Best108	OG248.fasta.aln_gene26	Borowiec2015_Total1080	OG248.fasta.aln_gene294	300
Borowiec2015_Best108	OG248.fasta.aln_gene26	Hejnol2009	Tribe3166_0	36
Borowiec2015_Best108	OG248.fasta.aln_gene26	Simion2017	V2META14949-42-Calc_Hmm10-BMGE05	9
Borowiec2015_Best108	OG250.fasta.aln_gene27	Borowiec2015_Total1080	OG250.fasta.aln_gene297	330
Borowiec2015_Best108	OG250.fasta.aln_gene27	Simion2017	V2META12522-42-Calc_Hmm10-BMGE05	1
Borowiec2015_Best108	OG253.fasta.aln_gene28	Borowiec2015_Total1080	OG253.fasta.aln_gene300	253
Borowiec2015_Best108	OG253.fasta.aln_gene28	Chang2015	rpl9	85
Borowiec2015_Best108	OG253.fasta.aln_gene28	Dunn2008	Tribe143	140
Borowiec2015_Best108	OG253.fasta.aln_gene28	Nosenko2013_ribo_11057	KOG3255	17
Borowiec2015_Best108	OG253.fasta.aln_gene28	Nosenko2013_ribo_14615	KOG3255	22
Borowiec2015_Best108	OG253.fasta.aln_gene28	Philippe2009	Gene_0088	49
Borowiec2015_Best108	OG253.fasta.aln_gene28	Simion2017	V2META13546-42-Calc_Hmm10-BMGE05	31
Borowiec2015_Best108	OG263.fasta.aln_gene29	Borowiec2015_Total1080	OG263.fasta.aln_gene311	358
Borowiec2015_Best108	OG263.fasta.aln_gene29	Ryan2013_est	gene59	75
Borowiec2015_Best108	OG263.fasta.aln_gene29	Simion2017	V2META14499-42-Calc_Hmm10-BMGE05	28
Borowiec2015_Best108	OG268.fasta.aln_gene30	Borowiec2015_Total1080	OG268.fasta.aln_gene316	248
Borowiec2015_Best108	OG268.fasta.aln_gene30	Hejnol2009	Tribe2993_0	20
Borowiec2015_Best108	OG268.fasta.aln_gene30	Simion2017	V2META14648-42-Calc_Hmm10-BMGE05	53
Borowiec2015_Best108	OG270.fasta.aln_gene31	Borowiec2015_Total1080	OG270.fasta.aln_gene318	242
Borowiec2015_Best108	OG270.fasta.aln_gene31	Hejnol2009	Tribe1968_0	26
Borowiec2015_Best108	OG28.fasta.aln_gene32	Borowiec2015_Total1080	OG28.fasta.aln_gene339	341
Borowiec2015_Best108	OG28.fasta.aln_gene32	Chang2015	tribe1381_01	25
Borowiec2015_Best108	OG28.fasta.aln_gene32	Dunn2008	Tribe1381	68
Borowiec2015_Best108	OG28.fasta.aln_gene32	Hejnol2009	Tribe1531_0	35
Borowiec2015_Best108	OG28.fasta.aln_gene32	Ryan2013_est	gene78	38
Borowiec2015_Best108	OG28.fasta.aln_gene32	Simion2017	V2META13434-42-Calc_Hmm10-BMGE05	25
Borowiec2015_Best108	OG294.fasta.aln_gene33	Borowiec2015_Total1080	OG294.fasta.aln_gene344	355
