component_number	matrix	partition_name	edges	nodes_in_component	component_density	BUSCO_ID	BUSCO_description	SwissProt_accession	SwissProt_description	GO_annotations	ribo_found
0	Ryan2013_est	gene339	5	122	0.049857742853271915			P32233.1	RecName: Full=Developmentally-regulated GTP-binding protein 1; Short=DRG-1; AltName: Full=Neural precursor cell expressed developmentally down-regulated protein 3; Short=NEDD-3	GO:0005737; GO:0005829; GO:0016604; GO:0005844; GO:0005525; GO:0016787; GO:0042802; GO:0046872; GO:0002181	False
0	Simion2017	V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05	4	122	0.049857742853271915			P50991.4	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta; AltName: Full=Stimulator of TAR RNA-binding	GO:0044297; GO:0042995; GO:0005813; GO:0005832; GO:0005829; GO:0070062; GO:0042470; GO:0005874; GO:0005654; GO:0002199; GO:0005524; GO:0003723; GO:0051082; GO:0007339; GO:1904851; GO:1904871; GO:0051973; GO:1904874; GO:0032212; GO:0006457; GO:0050821; GO:0090666; GO:1901998	False
0	Ryan2013_est	gene6	7	122	0.049857742853271915	EOG091G0MKY	Ribosomal protein L19/L19e domain	P36241.2	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0022626; GO:0003723; GO:0003735; GO:0002181	True
0	Nosenko2013_ribo_11057	KOG0830	3	122	0.049857742853271915			A2Q0U8.1	RecName: Full=40S ribosomal protein SA; AltName: Full=37 kDa laminin receptor precursor; Short=37LRP; AltName: Full=37/67 kDa laminin receptor; Short=LRP/LR; AltName: Full=67 kDa laminin receptor; Short=67LR; AltName: Full=Laminin receptor 1; Short=LamR; AltName: Full=Laminin-binding protein precursor p40; Short=LBP/p40	GO:0022627; GO:0005634; GO:0005886; GO:0043236; GO:0005055; GO:0003735; GO:0000028; GO:0006412	True
0	Nosenko2013_ribo_11057	KOG0886	5	122	0.049857742853271915			O50003.1	RecName: Full=60S ribosomal protein L12	GO:0005840; GO:0019843; GO:0003735; GO:0006412	True
0	Simion2017	V2META13815-42-Calc_Hmm10-BMGE05	8	122	0.049857742853271915			O73817.1	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0043161	False
0	Ryan2013_est	gene238	8	122	0.049857742853271915			O73817.1	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0043161	False
0	Chang2015	rps17	5	122	0.049857742853271915	EOG091G0TNU	Ribosomal protein S17e	A5PK63.1	RecName: Full=40S ribosomal protein S17	GO:0005840; GO:0003735; GO:0006412	True
0	Chang2015	rpl19a	7	122	0.049857742853271915	EOG091G0MKY	Ribosomal protein L19/L19e domain	O02639.1	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0003723; GO:0003735; GO:0008340; GO:0006412	True
0	Nosenko2013_ribo_14615	KOG0397	3	122	0.049857742853271915			P42794.2	RecName: Full=60S ribosomal protein L11-2; AltName: Full=L16	GO:0022625; GO:0022626; GO:0016020; GO:0005634; GO:0005773; GO:0003729; GO:0019843; GO:0003735; GO:0000027; GO:0006412	True
0	Chang2015	rpl11b	4	122	0.049857742853271915			A8WQ43.1	RecName: Full=60S ribosomal protein L11-1	GO:0022625; GO:0005634; GO:0019843; GO:0003735; GO:0000027; GO:0006412	True
0	Nosenko2013_ribo_14615	KOG0898	7	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Dunn2008	Tribe174	7	122	0.049857742853271915	EOG091G0MKY	Ribosomal protein L19/L19e domain	P36241.2	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0022626; GO:0003723; GO:0003735; GO:0002181	True
0	Simion2017	V2META11037-1-42-Calc_Hmm10-BMGE05	3	122	0.049857742853271915	EOG091G05KR	Aminoacyl-tRNA synthetase, class II	Q6DRC0.1	RecName: Full=Serine--tRNA ligase, cytoplasmic; AltName: Full=Seryl-tRNA synthetase; Short=SerRS	GO:0005737; GO:0005634; GO:0005524; GO:0000978; GO:0004828; GO:0001525; GO:0001569; GO:0016525; GO:1903671; GO:0000122; GO:1904046; GO:1901342; GO:0006434; GO:0001944	False
0	Simion2017	V2META13072-42-Calc_Hmm10-BMGE05	2	122	0.049857742853271915			P50990.4	RecName: Full=T-complex protein 1 subunit theta; Short=TCP-1-theta; AltName: Full=CCT-theta; AltName: Full=Chaperonin containing T-complex polypeptide 1 subunit 8; AltName: Full=Renal carcinoma antigen NY-REN-15	GO:0035578; GO:0044297; GO:0005813; GO:0005832; GO:0005929; GO:0005737; GO:0005829; GO:0070062; GO:0005576; GO:1904813; GO:0045111; GO:0005874; GO:0005654; GO:0034774; GO:0002199; GO:0005524; GO:0042623; GO:0045296; GO:0051082; GO:0007339; GO:0043312; GO:0046931; GO:1904851; GO:1904871; GO:1904874; GO:0032212; GO:0006457; GO:0050821; GO:1901998	False
0	Chang2015	srs	3	122	0.049857742853271915	EOG091G05KR	Aminoacyl-tRNA synthetase, class II	P13642.2	RecName: Full=Serine--tRNA ligase, cytoplasmic; AltName: Full=62 kDa RNA-binding protein; AltName: Full=Seryl-tRNA synthetase; Short=SerRS; AltName: Full=Seryl-tRNA(Ser/Sec) synthetase	GO:0005737; GO:0005634; GO:0005524; GO:0000978; GO:0004828; GO:0016525; GO:0000122; GO:1904046; GO:0097056; GO:0006434	False
0	Ryan2013_est	gene398	9	122	0.049857742853271915			P28070.4	RecName: Full=Proteasome subunit beta type-4; AltName: Full=26 kDa prosomal protein; Short=HsBPROS26; Short=PROS-26; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Short=HsN3; Flags: Precursor	GO:0005737; GO:0005829; GO:0070062; GO:0005654; GO:0005634; GO:0000502; GO:0005839; GO:0019774; GO:0004175; GO:0001530; GO:0004298; GO:0002862; GO:0043687; GO:0010498; GO:0010499; GO:0043161; GO:0016579; GO:0016032	False
0	Philippe2009	rad51-A	14	122	0.049857742853271915	EOG091G0MKY	Ribosomal protein L19/L19e domain	O45946.1	RecName: Full=60S ribosomal protein L18	GO:0022625; GO:0003735; GO:0006412	True
0	Borowiec2015_Total1080	OG360.fasta.aln_gene415	7	122	0.049857742853271915			A3F4S0.1	RecName: Full=60S ribosomal protein L18	GO:0005840; GO:0003735; GO:0006412	True
0	Whelan2017_strict	Subset1_01	31	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	P27604.1	RecName: Full=Adenosylhomocysteinase; Short=AdoHcyase; AltName: Full=Protein dumpy-14; AltName: Full=S-adenosyl-L-homocysteine hydrolase	GO:0005829; GO:0004013; GO:0051287; GO:0006730; GO:0019510; GO:0033353	False
0	Whelan2017_full	Subset3_05	3	122	0.049857742853271915			P32233.1	RecName: Full=Developmentally-regulated GTP-binding protein 1; Short=DRG-1; AltName: Full=Neural precursor cell expressed developmentally down-regulated protein 3; Short=NEDD-3	GO:0005737; GO:0005829; GO:0016604; GO:0005844; GO:0005525; GO:0016787; GO:0042802; GO:0046872; GO:0002181	False
0	Simion2017	V2META10144-2-1-42-Calc_Hmm10-BMGE05	4	122	0.049857742853271915			P80313.1	RecName: Full=T-complex protein 1 subunit eta; Short=TCP-1-eta; AltName: Full=CCT-eta	GO:0044297; GO:0005832; GO:0005874; GO:0005739; GO:0005524; GO:0042802; GO:0051082; GO:0007339; GO:1904851; GO:0032212; GO:0006457; GO:0050821; GO:1901998	False
0	Borowiec2015_Best108	OG596.fasta.aln_gene76	8	122	0.049857742853271915			Q29384.1	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Hejnol2009	Tribe1379_0	5	122	0.049857742853271915			Q9IB83.1	RecName: Full=Proteasome subunit beta type-1-B; AltName: Full=20S proteasome beta-6 subunit B; Short=B6-B	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0051603	False
0	Nosenko2013_ribo_14615	KOG0886	5	122	0.049857742853271915			O50003.1	RecName: Full=60S ribosomal protein L12	GO:0005840; GO:0019843; GO:0003735; GO:0006412	True
0	Dunn2008	Tribe703	8	122	0.049857742853271915			P34067.2	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Short=RN3; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Philippe2009	rps27a	2	122	0.049857742853271915			A0A087WNH6.2	RecName: Full=Adenosylhomocysteinase; AltName: Full=BeSAHase; AltName: Full=S-adenosyl-L-homocysteine hydrolase; Short=SAHase	GO:0005737; GO:0004013; GO:0051287; GO:0006730; GO:0019510	False
0	Philippe2009	psmb-K	9	122	0.049857742853271915			Q29205.3	RecName: Full=60S ribosomal protein L11	GO:0005737; GO:0098556; GO:0022625; GO:0015934; GO:0005730; GO:0005654; GO:0019843; GO:0003735; GO:0032435; GO:1901798; GO:0034504; GO:0000027; GO:0006412	True
0	Nosenko2013_ribo_14615	KOG1696	6	122	0.049857742853271915	EOG091G0MKY	Ribosomal protein L19/L19e domain	O02639.1	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0003723; GO:0003735; GO:0008340; GO:0006412	True
0	Simion2017	V2META10144-2-2-1-42-Calc_Hmm10-BMGE05	3	122	0.049857742853271915			O04450.1	RecName: Full=T-complex protein 1 subunit epsilon; Short=TCP-1-epsilon; AltName: Full=CCT-epsilon; AltName: Full=Chaperonin CCT5	GO:0005832; GO:0005829; GO:0005886; GO:0009506; GO:0005524; GO:0051082; GO:0006457	False
0	Nosenko2013_ribo_14615	KOG0830	3	122	0.049857742853271915			A2Q0U8.1	RecName: Full=40S ribosomal protein SA; AltName: Full=37 kDa laminin receptor precursor; Short=37LRP; AltName: Full=37/67 kDa laminin receptor; Short=LRP/LR; AltName: Full=67 kDa laminin receptor; Short=67LR; AltName: Full=Laminin receptor 1; Short=LamR; AltName: Full=Laminin-binding protein precursor p40; Short=LBP/p40	GO:0022627; GO:0005634; GO:0005886; GO:0043236; GO:0005055; GO:0003735; GO:0000028; GO:0006412	True
0	Philippe2009	cct-T	2	122	0.049857742853271915			Q3ZCI9.3	RecName: Full=T-complex protein 1 subunit theta; Short=TCP-1-theta; AltName: Full=CCT-theta	GO:0005832; GO:0005929; GO:0005815; GO:0005524; GO:0051082; GO:0006457	False
0	Chang2015	rpl1	4	122	0.049857742853271915			B8B9K6.1	RecName: Full=60S ribosomal protein L10a	GO:0015934; GO:0003723; GO:0003735; GO:0006412	True
0	Dunn2008	Tribe213	6	122	0.049857742853271915			O50003.1	RecName: Full=60S ribosomal protein L12	GO:0005840; GO:0019843; GO:0003735; GO:0006412	True
0	Nosenko2013_ribo_14615	KOG1753	6	122	0.049857742853271915	EOG091G0QRW	Ribosomal protein S5 domain 2-type fold	O22647.1	RecName: Full=40S ribosomal protein S16	GO:0005840; GO:0003735; GO:0006412	True
0	Borowiec2015_Total1080	OG440.fasta.aln_gene501	7	122	0.049857742853271915	EOG091G0QRW	Ribosomal protein S5 domain 2-type fold	P62249.2	RecName: Full=40S ribosomal protein S16; AltName: Full=Small ribosomal subunit protein uS9	GO:0005829; GO:0022627; GO:0070062; GO:0005925; GO:0016020; GO:0005654; GO:0015935; GO:0003723; GO:0003735; GO:1990830; GO:0000462; GO:0000184; GO:0042274; GO:0006364; GO:0006614; GO:0006412; GO:0006413	True
0	Nosenko2013_nonribo_9187	KOG0185	9	122	0.049857742853271915			P28024.2	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0051603	False
0	Philippe2009	psma-D	10	122	0.049857742853271915			O73817.1	RecName: Full=Proteasome subunit beta type-3; AltName: Full=Proteasome chain 13; AltName: Full=Proteasome component C10-II; AltName: Full=Proteasome theta chain	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0043161	False
0	Whelan2017_full	Subset3_04	7	122	0.049857742853271915			O02639.1	RecName: Full=60S ribosomal protein L19	GO:0022625; GO:0003723; GO:0003735; GO:0008340; GO:0006412	True
0	Simion2017	V2META14987-42-Calc_Hmm10-BMGE05	5	122	0.049857742853271915			Q9IB83.1	RecName: Full=Proteasome subunit beta type-1-B; AltName: Full=20S proteasome beta-6 subunit B; Short=B6-B	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004298; GO:0051603	False
0	Borowiec2015_Total1080	OG596.fasta.aln_gene661	8	122	0.049857742853271915			Q29384.1	RecName: Full=Proteasome subunit beta type-4; AltName: Full=Macropain beta chain; AltName: Full=Multicatalytic endopeptidase complex beta chain; AltName: Full=Proteasome beta chain; AltName: Full=Proteasome chain 3; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Philippe2009	rps28a	1	122	0.049857742853271915			O13639.1	RecName: Full=Adenosylhomocysteinase; Short=AdoHcyase; AltName: Full=S-adenosyl-L-homocysteine hydrolase	GO:0005829; GO:0004013; GO:0051287; GO:0006555; GO:0006730; GO:0019510; GO:0033353; GO:0016259	False
0	Whelan2017_full	Subset3_03	8	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Chang2015	psmb	3	122	0.049857742853271915			O23717.1	RecName: Full=Proteasome subunit beta type-5-A; AltName: Full=20S proteasome beta subunit E-1; AltName: Full=Proteasome component E; AltName: Full=Proteasome epsilon-1 chain; Flags: Precursor	GO:0005737; GO:0005634; GO:0005839; GO:0019774; GO:0004175; GO:0004298; GO:0010498; GO:0010499; GO:0043161	False
0	Chang2015	sap40	4	122	0.049857742853271915			A6NA00.1	RecName: Full=40S ribosomal protein SA	GO:0022627; GO:0003735; GO:0000028; GO:0006412	True
0	Borowiec2015_Best108	OG440.fasta.aln_gene55	7	122	0.049857742853271915	EOG091G0QRW	Ribosomal protein S5 domain 2-type fold	P62249.2	RecName: Full=40S ribosomal protein S16; AltName: Full=Small ribosomal subunit protein uS9	GO:0005829; GO:0022627; GO:0070062; GO:0005925; GO:0016020; GO:0005654; GO:0015935; GO:0003723; GO:0003735; GO:1990830; GO:0000462; GO:0000184; GO:0042274; GO:0006364; GO:0006614; GO:0006412; GO:0006413	True
0	Philippe2009	cct-D	4	122	0.049857742853271915			P47208.1	RecName: Full=T-complex protein 1 subunit delta; Short=TCP-1-delta; AltName: Full=CCT-delta	GO:0005832; GO:0005524; GO:0051082; GO:0040032; GO:0006457	False
0	Philippe2009	cct-N	4	122	0.049857742853271915			Q54ER7.1	RecName: Full=T-complex protein 1 subunit eta; Short=TCP-1-eta; AltName: Full=CCT-eta	GO:0005832; GO:0005524; GO:0051082; GO:0006457	False
0	Nosenko2013_ribo_11057	KOG0898	7	122	0.049857742853271915	EOG091G0ZRG	Ribosomal protein S19, superfamily	O65059.1	RecName: Full=40S ribosomal protein S15	GO:0015935; GO:0003723; GO:0003735; GO:0006412	True
0	Borowiec2015_Total1080	OG4.fasta.aln_gene564	3	122	0.049857742853271915			O00782.1	RecName: Full=T-complex protein 1 subunit gamma; Short=TCP-1-gamma; AltName: Full=CCT-gamma; AltName: Full=Chaperonin subunit CCTV gamma	GO:0005737; GO:0005524; GO:0051082; GO:0006457	False
0	Nosenko2013_ribo_11057	KOG1753	6	122	0.049857742853271915	EOG091G0QRW	Ribosomal protein S5 domain 2-type fold	O22647.1	RecName: Full=40S ribosomal protein S16	GO:0005840; GO:0003735; GO:0006412	True
